Mes,Generación Planta FV [kWh],Consumo Cliente [kWh],Irradiancia Planta FV (W/m²)
enero,6314.1338,27116.485916666672,"473,23"
julio,28080.278425,119204.51820833333,"361,70"
agosto,35674.670724999996,113677.9241666667,"412,07"
septiembre,31498.829512499997,121839.717875,"407,38"
octubre,5697.794416666666,19921.0005,"388,85"
noviembre,11662.321087499999,41190.14925,"371,04"
diciembre,21619.963748611113,88878.98381944445,"458,92"
